ID,Airplane Tail,Software Crate Number,Software Part Number,Features,Episode Start Date
17,NWLHMT,MPPEP-SYSDH-6CGHZ,9DUDV-72KKI-BSH2T,['F5'],2022-01-04T18:20:47
18,NFBDKL,C2253-4HA0G-T4F7W,9DUDV-72KKI-BSH2T,['F5'],2022-01-04T18:20:47
19,NOULDM,ZFO31-F31XQ-XW3CT,1P95A-EROT0-0KIQN,"['S1', 'F1', 'F1', 'F2', 'F1', 'S1', 'F1', 'F1', 'F2', 'E1', 'E1']",2022-01-07T23:24:47
20,NXTHOW,ZFO31-F31XQ-XW3CT,1P95A-EROT0-0KIQN,"['S1', 'F1', 'F1', 'F2', 'F1', 'E1']",2022-01-07T23:25:39
21,NXTHOW,5EIKS-XNANS-KGFK2,ZKYZY-GQ4BY-Q50NC,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-07T23:25:43
22,NWLHMT,ZFO31-F31XQ-XW3CT,1P95A-EROT0-0KIQN,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-07T23:25:46
23,NFBDKL,ZFO31-F31XQ-XW3CT,1P95A-EROT0-0KIQN,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-07T23:25:46
24,NFBDKL,5EIKS-XNANS-KGFK2,ZKYZY-GQ4BY-Q50NC,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-07T23:26:03
25,NWLHMT,5EIKS-XNANS-KGFK2,ZKYZY-GQ4BY-Q50NC,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-07T23:26:03
26,NXTHOW,0X70I-3984R-DI7HP,5EU88-HEKRV-PVX9B,"['S1', 'F1', 'F1', 'F2', 'F1', 'F4', 'E1']",2022-01-07T23:29:51
27,NXTHOW,VE0LC-KXK5M-VBP30,85Q3L-5CA9B-GU4KI,"['S1', 'F1', 'F1', 'F2', 'F1', 'E1']",2022-01-07T23:29:54
28,NLXADM,ZFO31-F31XQ-XW3CT,1P95A-EROT0-0KIQN,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-07T23:30:13
29,NXTHOW,NK0RA-PIK68-L52J3,41L0I-NYGO6-LJ8SH,"['S1', 'F1', 'F1', 'F2', 'F1', 'E1']",2022-01-07T23:30:34
30,NXTHOW,D6FIC-NMBBF-RJZR2,W7X0Y-8OFPN-PN5YO,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-07T23:30:50
31,NLXADM,5EIKS-XNANS-KGFK2,ZKYZY-GQ4BY-Q50NC,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-07T23:30:53
32,NOULDM,0X70I-3984R-DI7HP,5EU88-HEKRV-PVX9B,"['S1', 'F1', 'F1', 'F2', 'F1', 'F4', 'E1']",2022-01-07T23:30:59
33,NOULDM,VE0LC-KXK5M-VBP30,85Q3L-5CA9B-GU4KI,"['S1', 'F1', 'F1', 'F2', 'F1', 'E1']",2022-01-07T23:31:02
34,NOULDM,NK0RA-PIK68-L52J3,41L0I-NYGO6-LJ8SH,"['S1', 'F1', 'F1', 'F1', 'F2', 'S1', 'F1', 'F1', 'F2', 'E1', 'E1']",2022-01-07T23:31:17
35,NLXADM,0X70I-3984R-DI7HP,5EU88-HEKRV-PVX9B,"['S1', 'F1', 'F1', 'F2', 'F4', 'E1']",2022-01-07T23:31:34
36,NLXADM,VE0LC-KXK5M-VBP30,85Q3L-5CA9B-GU4KI,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-07T23:32:10
37,NOULDM,W61WN-EWY1O-1CYTC,C4NKA-U9SUE-OOLPZ,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-07T23:35:32
38,NTZPMR,ZFO31-F31XQ-XW3CT,1P95A-EROT0-0KIQN,"['S1', 'F1', 'F1', 'F1', 'F2', 'S1', 'F1', 'F1', 'F1', 'F2', 'E1', 'E1']",2022-01-07T23:35:38
39,NTZPMR,0X70I-3984R-DI7HP,5EU88-HEKRV-PVX9B,"['S1', 'F1', 'F1', 'F1', 'F2', 'E1']",2022-01-07T23:35:50
40,NTZPMR,VE0LC-KXK5M-VBP30,85Q3L-5CA9B-GU4KI,"['S1', 'F1', 'F1', 'F2', 'F1', 'F1', 'E1']",2022-01-07T23:35:55
41,NTZPMR,NK0RA-PIK68-L52J3,41L0I-NYGO6-LJ8SH,"['S1', 'F1', 'F1', 'F1', 'F2', 'S1', 'F1', 'F1', 'F2', 'E1', 'S1', 'F1', 'F1', 'F2', 'E1', 'E1']",2022-01-07T23:36:14
42,NWLHMT,0X70I-3984R-DI7HP,5EU88-HEKRV-PVX9B,"['S1', 'F1', 'F1', 'F2', 'F4', 'E1']",2022-01-07T23:36:39
43,NFBDKL,0X70I-3984R-DI7HP,5EU88-HEKRV-PVX9B,"['S1', 'F1', 'F1', 'F2', 'F4', 'E1']",2022-01-07T23:36:39
44,NWLHMT,VE0LC-KXK5M-VBP30,85Q3L-5CA9B-GU4KI,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-07T23:37:02
45,NFBDKL,VE0LC-KXK5M-VBP30,85Q3L-5CA9B-GU4KI,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-07T23:37:02
46,NXTHOW,W61WN-EWY1O-1CYTC,C4NKA-U9SUE-OOLPZ,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-07T23:37:09
47,NWLHMT,NK0RA-PIK68-L52J3,41L0I-NYGO6-LJ8SH,"['S1', 'F1', 'F1', 'F2', 'F1', 'E1']",2022-01-07T23:42:21
48,NFBDKL,NK0RA-PIK68-L52J3,41L0I-NYGO6-LJ8SH,"['S1', 'F1', 'F1', 'F2', 'F1', 'E1']",2022-01-07T23:42:21
49,NWLHMT,D6FIC-NMBBF-RJZR2,W7X0Y-8OFPN-PN5YO,"['S1', 'F1', 'F1', 'F2', 'F1', 'E1']",2022-01-07T23:43:35
50,NFBDKL,D6FIC-NMBBF-RJZR2,W7X0Y-8OFPN-PN5YO,"['S1', 'F1', 'F1', 'F2', 'F1', 'E1']",2022-01-07T23:43:35
51,NFBDKL,W61WN-EWY1O-1CYTC,C4NKA-U9SUE-OOLPZ,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-07T23:43:53
52,NWLHMT,W61WN-EWY1O-1CYTC,C4NKA-U9SUE-OOLPZ,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-07T23:43:53
53,NMCUZQ,ZFO31-F31XQ-XW3CT,1P95A-EROT0-0KIQN,"['S1', 'F1', 'F1', 'F2', 'F1', 'E1']",2022-01-07T23:57:02
54,NMCUZQ,5EIKS-XNANS-KGFK2,ZKYZY-GQ4BY-Q50NC,"['S1', 'F1', 'F1', 'F2', 'F1', 'E1']",2022-01-07T23:57:04
55,NMCUZQ,0X70I-3984R-DI7HP,5EU88-HEKRV-PVX9B,"['S1', 'F1', 'F1', 'F2', 'F1', 'F4', 'E1']",2022-01-07T23:57:07
56,NMCUZQ,VE0LC-KXK5M-VBP30,85Q3L-5CA9B-GU4KI,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-07T23:57:12
57,NMCUZQ,NK0RA-PIK68-L52J3,41L0I-NYGO6-LJ8SH,"['S1', 'F1', 'F1', 'F1', 'F2', 'E1']",2022-01-07T23:58:38
58,NMCUZQ,D6FIC-NMBBF-RJZR2,W7X0Y-8OFPN-PN5YO,"['S1', 'F1', 'F1', 'F2', 'F1', 'E1']",2022-01-07T23:59:07
59,NMCUZQ,W61WN-EWY1O-1CYTC,C4NKA-U9SUE-OOLPZ,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-07T23:59:13
60,NWKQLM,ZFO31-F31XQ-XW3CT,1P95A-EROT0-0KIQN,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-08T00:13:22
61,NWKQLM,5EIKS-XNANS-KGFK2,ZKYZY-GQ4BY-Q50NC,"['S1', 'F1', 'F1', 'F2', 'F1', 'E1']",2022-01-08T00:13:36
62,NWKQLM,0X70I-3984R-DI7HP,5EU88-HEKRV-PVX9B,"['S1', 'F1', 'F1', 'F2', 'F1', 'F4', 'E1']",2022-01-08T00:13:44
63,NWKQLM,VE0LC-KXK5M-VBP30,85Q3L-5CA9B-GU4KI,"['S1', 'F1', 'F1', 'F2', 'F1', 'E1']",2022-01-08T00:13:47
64,NWKQLM,NK0RA-PIK68-L52J3,41L0I-NYGO6-LJ8SH,"['S1', 'F1', 'F1', 'F1', 'F2', 'E1']",2022-01-08T00:14:06
65,NWKQLM,D6FIC-NMBBF-RJZR2,W7X0Y-8OFPN-PN5YO,"['S1', 'F1', 'F1', 'F1', 'F2', 'S1', 'F1', 'F1', 'E1', 'F2', 'E1']",2022-01-08T00:14:14
66,NFPWOK,ZFO31-F31XQ-XW3CT,1P95A-EROT0-0KIQN,"['S1', 'F1', 'F1', 'F2', 'F1', 'E1']",2022-01-08T00:35:49
67,NFPWOK,5EIKS-XNANS-KGFK2,ZKYZY-GQ4BY-Q50NC,"['S1', 'F1', 'F1', 'F2', 'F1', 'E1']",2022-01-08T00:35:52
68,NFPWOK,0X70I-3984R-DI7HP,5EU88-HEKRV-PVX9B,"['S1', 'F1', 'F1', 'F2', 'F1', 'F4', 'E1']",2022-01-08T00:35:57
69,NFPWOK,VE0LC-KXK5M-VBP30,85Q3L-5CA9B-GU4KI,"['S1', 'F1', 'F1', 'F2', 'F1', 'E1']",2022-01-08T00:36:01
70,NFPWOK,NK0RA-PIK68-L52J3,41L0I-NYGO6-LJ8SH,"['S1', 'F1', 'F1', 'F1', 'F2', 'E1']",2022-01-08T00:37:53
71,NFPWOK,D6FIC-NMBBF-RJZR2,W7X0Y-8OFPN-PN5YO,"['S1', 'F1', 'F1', 'F2', 'F1', 'E1']",2022-01-08T00:38:02
72,NFPWOK,W61WN-EWY1O-1CYTC,C4NKA-U9SUE-OOLPZ,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-08T00:38:06
73,NDLDYG,ZFO31-F31XQ-XW3CT,1P95A-EROT0-0KIQN,"['S1', 'F1', 'F1', 'F2', 'F1', 'S1', 'F1', 'F1', 'F2', 'E1', 'F1', 'E1']",2022-01-08T00:45:37
74,NDLDYG,0X70I-3984R-DI7HP,5EU88-HEKRV-PVX9B,"['S1', 'F1', 'F1', 'F2', 'F1', 'S1', 'F1', 'F1', 'F2', 'F4', 'E1', 'F1', 'E1']",2022-01-08T00:45:43
75,NDLDYG,NK0RA-PIK68-L52J3,41L0I-NYGO6-LJ8SH,"['S1', 'F1', 'F1', 'F1', 'F2', 'E1']",2022-01-08T00:46:11
76,NDLDYG,D6FIC-NMBBF-RJZR2,W7X0Y-8OFPN-PN5YO,"['S1', 'F1', 'F1', 'F2', 'S1', 'F1', 'F1', 'F2', 'E1', 'E1']",2022-01-08T00:46:21
77,NDWOVW,ZFO31-F31XQ-XW3CT,1P95A-EROT0-0KIQN,"['S1', 'F1', 'F1', 'F2', 'F1', 'S1', 'F1', 'F1', 'F2', 'F1', 'E1', 'S1', 'F1', 'F1', 'F2', 'E1', 'F1', 'F4', 'E1']",2022-01-08T01:09:23
78,NDWOVW,VE0LC-KXK5M-VBP30,85Q3L-5CA9B-GU4KI,"['S1', 'F1', 'F1', 'F2', 'F1', 'E1']",2022-01-08T01:09:31
79,NDWOVW,NK0RA-PIK68-L52J3,41L0I-NYGO6-LJ8SH,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-08T01:10:04
80,NDWOVW,D6FIC-NMBBF-RJZR2,W7X0Y-8OFPN-PN5YO,"['S1', 'F1', 'F1', 'F2', 'F1', 'E1']",2022-01-08T01:10:12
81,NDWOVW,W61WN-EWY1O-1CYTC,C4NKA-U9SUE-OOLPZ,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-08T01:10:14
82,NWUEEA,ZFO31-F31XQ-XW3CT,ZKYZY-GQ4BY-Q50NC,"['S1', 'F1', 'F1', 'F1', 'F2', 'S1', 'F1', 'F1', 'F2', 'F1', 'S1', 'F1', 'E1', 'E1', 'F1', 'F1', 'F2', 'S1', 'F1', 'F1', 'F1', 'F2', 'E1', 'F4', 'E1']",2022-01-08T01:24:37
83,NWUEEA,NK0RA-PIK68-L52J3,41L0I-NYGO6-LJ8SH,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-08T01:25:53
84,NWUEEA,D6FIC-NMBBF-RJZR2,W7X0Y-8OFPN-PN5YO,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-08T01:27:07
85,NWUEEA,W61WN-EWY1O-1CYTC,C4NKA-U9SUE-OOLPZ,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-08T01:27:39
86,NLBOHD,ZFO31-F31XQ-XW3CT,1P95A-EROT0-0KIQN,"['S1', 'F1', 'F1', 'F2', 'F1', 'S1', 'F1', 'F1', 'F2', 'F1', 'E1', 'S1', 'F1', 'F1', 'E1', 'F2', 'F1', 'F4', 'E1']",2022-01-08T01:29:23
87,NLBOHD,VE0LC-KXK5M-VBP30,85Q3L-5CA9B-GU4KI,"['S1', 'F1', 'F1', 'F2', 'F1', 'E1']",2022-01-08T01:29:29
88,NLBOHD,NK0RA-PIK68-L52J3,41L0I-NYGO6-LJ8SH,"['S1', 'F1', 'F1', 'F1', 'F2', 'F1', 'S1', 'F1', 'F1', 'F2', 'E1', 'S1', 'F1', 'F1', 'F2', 'E1', 'E1']",2022-01-08T01:29:43
89,NIJHTC,ZFO31-F31XQ-XW3CT,1P95A-EROT0-0KIQN,"['S1', 'F1', 'F1', 'F2', 'F1', 'F1', 'E1']",2022-01-08T01:31:12
90,NIJHTC,5EIKS-XNANS-KGFK2,ZKYZY-GQ4BY-Q50NC,"['S1', 'F1', 'F1', 'F2', 'F1', 'E1']",2022-01-08T01:31:15
91,NIJHTC,0X70I-3984R-DI7HP,5EU88-HEKRV-PVX9B,"['S1', 'F1', 'F1', 'F1', 'F2', 'S1', 'F1', 'F1', 'F2', 'F1', 'F4', 'E1', 'E1']",2022-01-08T01:31:18
92,NIJHTC,NK0RA-PIK68-L52J3,41L0I-NYGO6-LJ8SH,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-08T01:31:48
93,NIJHTC,D6FIC-NMBBF-RJZR2,W7X0Y-8OFPN-PN5YO,"['S1', 'F1', 'F1', 'F2', 'S1', 'F1', 'F1', 'F2', 'E1', 'E1']",2022-01-08T01:31:54
94,NLXADM,NK0RA-PIK68-L52J3,1P95A-EROT0-0KIQN,"['S1', 'F1', 'F1', 'F2', 'F1', 'S1', 'F1', 'F1', 'F2', 'F4', 'E1', 'E1']",2022-01-08T01:36:18
95,NSLXPO,ZFO31-F31XQ-XW3CT,1P95A-EROT0-0KIQN,"['S1', 'F1', 'F1', 'F2', 'F1', 'E1']",2022-01-08T01:37:56
96,NFBDKL,ZFO31-F31XQ-XW3CT,1P95A-EROT0-0KIQN,"['S1', 'F1', 'F1', 'F2', 'F1', 'E1']",2022-01-08T01:37:56
97,NLXADM,D6FIC-NMBBF-RJZR2,W7X0Y-8OFPN-PN5YO,"['S1', 'F1', 'F1', 'F2', 'F1', 'E1']",2022-01-08T01:37:57
98,NFBDKL,5EIKS-XNANS-KGFK2,ZKYZY-GQ4BY-Q50NC,"['S1', 'F1', 'F1', 'F2', 'F1', 'E1']",2022-01-08T01:38:00
99,NSLXPO,5EIKS-XNANS-KGFK2,ZKYZY-GQ4BY-Q50NC,"['S1', 'F1', 'F1', 'F2', 'F1', 'E1']",2022-01-08T01:38:00
100,NLXADM,W61WN-EWY1O-1CYTC,C4NKA-U9SUE-OOLPZ,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-08T01:38:10
101,NFBDKL,0X70I-3984R-DI7HP,5EU88-HEKRV-PVX9B,"['S1', 'F1', 'F1', 'F2', 'F1', 'F1', 'F4', 'E1']",2022-01-08T01:38:10
102,NSLXPO,0X70I-3984R-DI7HP,5EU88-HEKRV-PVX9B,"['S1', 'F1', 'F1', 'F2', 'F1', 'F1', 'F4', 'E1']",2022-01-08T01:38:10
103,NFBDKL,VE0LC-KXK5M-VBP30,85Q3L-5CA9B-GU4KI,"['S1', 'F1', 'F1', 'F2', 'F1', 'F1', 'E1']",2022-01-08T01:38:18
104,NSLXPO,VE0LC-KXK5M-VBP30,85Q3L-5CA9B-GU4KI,"['S1', 'F1', 'F1', 'F2', 'F1', 'F1', 'E1']",2022-01-08T01:38:18
105,NFBDKL,NK0RA-PIK68-L52J3,41L0I-NYGO6-LJ8SH,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-08T01:39:13
106,NSLXPO,NK0RA-PIK68-L52J3,41L0I-NYGO6-LJ8SH,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-08T01:39:13
107,NSLXPO,D6FIC-NMBBF-RJZR2,W7X0Y-8OFPN-PN5YO,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-08T01:41:08
108,NFBDKL,D6FIC-NMBBF-RJZR2,W7X0Y-8OFPN-PN5YO,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-08T01:41:08
109,NFBDKL,NK0RA-PIK68-L52J3,41L0I-NYGO6-LJ8SH,"['S1', 'F1', 'F1', 'F2', 'F4', 'E1']",2022-01-08T01:41:25
110,NSLXPO,NK0RA-PIK68-L52J3,41L0I-NYGO6-LJ8SH,"['S1', 'F1', 'F1', 'F2', 'F4', 'E1']",2022-01-08T01:41:25
111,NFBDKL,W61WN-EWY1O-1CYTC,C4NKA-U9SUE-OOLPZ,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-08T01:41:33
112,NSLXPO,W61WN-EWY1O-1CYTC,C4NKA-U9SUE-OOLPZ,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-08T01:41:33
113,NEHTFG,ZFO31-F31XQ-XW3CT,1P95A-EROT0-0KIQN,"['S1', 'F1', 'F1', 'F2', 'F1', 'S1', 'F1', 'F1', 'F2', 'F1', 'E1', 'E1']",2022-01-08T02:09:02
114,NEHTFG,0X70I-3984R-DI7HP,5EU88-HEKRV-PVX9B,"['S1', 'F1', 'F1', 'F2', 'F1', 'F4', 'E1']",2022-01-08T02:09:10
115,NEHTFG,VE0LC-KXK5M-VBP30,85Q3L-5CA9B-GU4KI,"['S1', 'F1', 'F1', 'F2', 'F1', 'E1']",2022-01-08T02:09:13
116,NEHTFG,NK0RA-PIK68-L52J3,41L0I-NYGO6-LJ8SH,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-08T02:13:22
117,NEHTFG,D6FIC-NMBBF-RJZR2,W7X0Y-8OFPN-PN5YO,"['S1', 'F1', 'F1', 'F2', 'F1', 'E1']",2022-01-08T02:15:39
118,NEHTFG,W61WN-EWY1O-1CYTC,C4NKA-U9SUE-OOLPZ,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-08T02:15:44
119,NFBDKL,ZFO31-F31XQ-XW3CT,1P95A-EROT0-0KIQN,"['S1', 'F1', 'F1', 'F2', 'F1', 'F4', 'E1']",2022-01-08T02:31:19
120,NSLXPO,ZFO31-F31XQ-XW3CT,1P95A-EROT0-0KIQN,"['S1', 'F1', 'F1', 'F2', 'F1', 'F4', 'E1']",2022-01-08T02:31:19
121,NFBDKL,5EIKS-XNANS-KGFK2,ZKYZY-GQ4BY-Q50NC,"['S1', 'F1', 'F1', 'F2', 'F1', 'F4', 'E1']",2022-01-08T02:31:30
122,NSLXPO,5EIKS-XNANS-KGFK2,ZKYZY-GQ4BY-Q50NC,"['S1', 'F1', 'F1', 'F2', 'F1', 'F4', 'E1']",2022-01-08T02:31:30
123,NSLXPO,0X70I-3984R-DI7HP,5EU88-HEKRV-PVX9B,"['S1', 'F1', 'F1', 'F2', 'F1', 'F4', 'E1']",2022-01-08T02:31:46
124,NFBDKL,0X70I-3984R-DI7HP,5EU88-HEKRV-PVX9B,"['S1', 'F1', 'F1', 'F2', 'F1', 'F4', 'E1']",2022-01-08T02:31:46
125,NFBDKL,VE0LC-KXK5M-VBP30,85Q3L-5CA9B-GU4KI,"['S1', 'F1', 'F1', 'F2', 'F1', 'F4', 'E1']",2022-01-08T02:31:58
126,NSLXPO,VE0LC-KXK5M-VBP30,85Q3L-5CA9B-GU4KI,"['S1', 'F1', 'F1', 'F2', 'F1', 'F4', 'E1']",2022-01-08T02:31:58
127,NWUEEA,ZFO31-F31XQ-XW3CT,ZKYZY-GQ4BY-Q50NC,"['S1', 'F1', 'F1', 'F2', 'F1', 'S1', 'F1', 'F1', 'F2', 'F1', 'S1', 'F1', 'F1', 'F2', 'F1', 'S1', 'F1', 'F1', 'F2', 'F1', 'S1', 'F1', 'F1', 'F1', 'F2', 'S1', 'F1', 'F1', 'F2', 'F1', 'S1', 'F1', 'F1', 'F2', 'F4', 'F4', 'E1', 'E1', 'F4', 'E1', 'F4', 'E1', 'F4', 'E1', 'F4', 'E1', 'F4', 'E1']",2022-01-08T02:32:15
128,NSLXPO,D6FIC-NMBBF-RJZR2,W7X0Y-8OFPN-PN5YO,"['S1', 'F1', 'F1', 'F2', 'F4', 'E1']",2022-01-08T02:32:33
129,NFBDKL,D6FIC-NMBBF-RJZR2,W7X0Y-8OFPN-PN5YO,"['S1', 'F1', 'F1', 'F2', 'F4', 'E1']",2022-01-08T02:32:33
130,NXIBKV,ZFO31-F31XQ-XW3CT,1P95A-EROT0-0KIQN,"['S1', 'F1', 'F1', 'F2', 'F1', 'E1']",2022-01-08T03:45:29
131,NXIBKV,5EIKS-XNANS-KGFK2,ZKYZY-GQ4BY-Q50NC,"['S1', 'F1', 'F1', 'F2', 'F1', 'S1', 'F1', 'F1', 'F2', 'F1', 'S1', 'F1', 'F1', 'F2', 'F1', 'E1', 'F4', 'E1', 'E1']",2022-01-08T03:45:33
132,NXIBKV,NK0RA-PIK68-L52J3,41L0I-NYGO6-LJ8SH,"['S1', 'F1', 'F1', 'F2', 'S1', 'F1', 'F1', 'F2', 'E1', 'S1', 'F1', 'F1', 'F2', 'E1', 'E1']",2022-01-08T03:46:26
133,NWUEEA,ZFO31-F31XQ-XW3CT,1P95A-EROT0-0KIQN,"['S1', 'F1', 'F1', 'F2', 'F1', 'S1', 'F1', 'F1', 'F2', 'F1', 'F4', 'E1', 'S1', 'F1', 'F1', 'F2', 'F4', 'E1', 'F4', 'E1']",2022-01-08T06:39:12
134,NLXADM,ZFO31-F31XQ-XW3CT,ZKYZY-GQ4BY-Q50NC,"['S1', 'F1', 'F1', 'F2', 'F1', 'S1', 'F1', 'F1', 'F2', 'F1', 'S1', 'F1', 'F1', 'F1', 'F2', 'S1', 'F1', 'F1', 'F2', 'F4', 'F4', 'E1', 'E1', 'F4', 'E1', 'F4', 'E1']",2022-01-08T07:06:13
135,NWUEEA,5EIKS-XNANS-KGFK2,ZKYZY-GQ4BY-Q50NC,"['S1', 'F1', 'F1', 'F2', 'F1', 'S1', 'F1', 'F1', 'F1', 'F2', 'F1', 'F4', 'F4', 'E1', 'E1']",2022-01-08T07:48:23
136,NWUEEA,NK0RA-PIK68-L52J3,W7X0Y-8OFPN-PN5YO,"['S1', 'F1', 'F1', 'F1', 'F2', 'S1', 'F1', 'F1', 'F2', 'F4', 'E1', 'F4', 'E1']",2022-01-08T07:48:54
137,NLXADM,D6FIC-NMBBF-RJZR2,W7X0Y-8OFPN-PN5YO,"['S1', 'F1', 'F1', 'F2', 'F1', 'F4', 'E1']",2022-01-08T16:36:20
138,NLXADM,W61WN-EWY1O-1CYTC,C4NKA-U9SUE-OOLPZ,"['S1', 'F1', 'F1', 'F2', 'F4', 'E1']",2022-01-08T16:36:23
139,NLXADM,NK0RA-PIK68-L52J3,41L0I-NYGO6-LJ8SH,"['S1', 'F1', 'F1', 'F2', 'F4', 'E1']",2022-01-08T22:38:26
140,NWLHMT,J33WJ-XN7PC-O6GPE,IIUL5-0YDTK-0D432,['F5'],2022-01-09T02:31:01
141,NFBDKL,0SM6X-YT66H-KIVDF,IIUL5-0YDTK-0D432,['F5'],2022-01-09T02:31:01
142,NFBDKL,GATC9-XZN0C-OYRLQ,OXGIP-471PI-GA2A6,['F5'],2022-01-09T02:31:02
143,NFBDKL,MPT4X-UT9V8-M8OFK,TR6NB-8YPUS-GTQHC,['F5'],2022-01-09T02:31:02
144,NWLHMT,SUOYM-5VHCA-F274S,TR6NB-8YPUS-GTQHC,['F5'],2022-01-09T02:31:02
145,NWLHMT,6VRNZ-LRKNK-T0CT4,OXGIP-471PI-GA2A6,['F5'],2022-01-09T02:31:02
146,NFBDKL,5XG0V-BH0EO-JDJCL,RH9AK-2IIRK-8RTHJ,['F5'],2022-01-09T02:37:05
147,NWLHMT,8IN06-I4442-U7VFT,RH9AK-2IIRK-8RTHJ,['F5'],2022-01-09T02:37:05
148,NWLHMT,XKHPF-KBML0-XEGRE,BOVLE-YS4DF-RODW5,['F5'],2022-01-09T02:37:06
149,NFBDKL,3F6V5-TJBOI-HWYVM,BOVLE-YS4DF-RODW5,['F5'],2022-01-09T02:37:06
150,NTCJJH,2JHNU-12SHJ-DDBVY,OXGIP-471PI-GA2A6,['F5'],2022-01-09T02:57:52
151,NTCJJH,GGQVA-10JG1-Z6EHO,IIUL5-0YDTK-0D432,['F5'],2022-01-09T02:57:52
152,NTCJJH,0MZF3-AJFK0-HAAQ4,RH9AK-2IIRK-8RTHJ,['F5'],2022-01-09T02:57:54
153,NTCJJH,GLLMZ-AZPWR-LELWC,TR6NB-8YPUS-GTQHC,['F5'],2022-01-09T02:57:54
